region;sity;name;adress;edrpou
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ПСИХОНЕВРОЛОГІЧНА ЛІКАРНЯ ІМ. АКАД. О.І. ЮЩЕНКА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Пирогова, будинок 109;01982264
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ МЕДИЧНИЙ РЕАБІЛІТАЦІЙНИЙ ЦЕНТР ВЕТЕРАНІВ ВІЙНИ ТА РАДІАЦІЙНОГО ЗАХИСТУ НАСЕЛЕННЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Стуса В., будинок 11;01982270
ВІННИЦЬКА; Хмільник;"КНП ""ХМІЛЬНИЦЬКА ОБЛАСНА ЛІКАРНЯ ВІДНОВНОГО ЛІКУВАННЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; ШОЛОМ АЛЕЙХЕМА, будинок 8;01982442
ВІННИЦЬКА; Бар;"КНП ""БАРСЬКА МІСЬКА ЛІКАРНЯ"" БАРСЬКОЇ МІСЬКОЇ РАДИ";Каштанова, будинок 34В;01982488
ВІННИЦЬКА; Бершадь;"КНП ""БЕРШАДСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ БЕРШАДСЬКОЇ МІСЬКОЇ РАДИ""";Будкевича, будинок 2;01982494
ВІННИЦЬКА; Жмеринка;"КНП ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ";Київська, будинок 288;01982525
ВІННИЦЬКА; Іллінці;"КНП ""ІЛЛІНЕЦЬКА МІСЬКА ЛІКАРНЯ"" ІЛЛІНЕЦЬКОЇ МІСЬКОЇ РАДИ";Заремби Юрія, будинок 48А;01982531
ВІННИЦЬКА; Калинівка;"КП ""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ";Медична, будинок 6;01982554
ВІННИЦЬКА; Крижопіль;"КНП ""КРИЖОПІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ""";Нечая Данила, будинок 10;01982560
ВІННИЦЬКА; Липовець;"КНП ""ЛИПОВЕЦЬКА МІСЬКА ЛІКАРНЯ"" ЛИПОВЕЦЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Пирогова, будинок 9;01982577
ВІННИЦЬКА; Літин;"КНП ""ЛІТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЛІТИНСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 17;01982583
ВІННИЦЬКА; Могилів-Подільський;"КНП ""МОГИЛІВ-ПОДІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ"" МОГИЛІВ-ПОДІЛЬСЬКОЇ МІСЬКОЇ РАДИ";Полтавська, будинок 89/2;01982591
ВІННИЦЬКА; Муровані Курилівці;"КНП ""МУРОВАНОКУРИЛОВЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ""";Незалежності, будинок 87;01982608
ВІННИЦЬКА; Немирів;"КНП ""НЕМИРІВСЬКА МІСЬКА ЛІКАРНЯ"" НЕМИРІВСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ";Шевченка, будинок 26;01982614
ВІННИЦЬКА; Піщанка(з);"КНП ""ПІЩАНСЬКА  РАЙОННА ЛІКАРНЯ"" ПІЩАНСЬКОЇ СЕЛИЩНОЇ РАДИ";Центральна, будинок 42;01982620
ВІННИЦЬКА; Погребище;"КП ""ПОГРЕБИЩЕНСЬКА ЦЕНТРАЛЬНА  ЛІКАРНЯ"" ПОГРЕБИЩЕНСЬКОЇ МІСЬКОЇ РАДИ";Тичини П., будинок 54а;01982637
ВІННИЦЬКА; Теплик;"КНП  ТЕПЛИЦЬКОЇ СЕЛИЩНОЇ РАДИ ""ТЕПЛИЦЬКА МІСЬКА ЛІКАРНЯ""";Незалежності, будинок 2;01982643
ВІННИЦЬКА; Тростянець;"КНП ""ТРОСТЯНЕЦЬКА ЛІКАРНЯ""";Богуна Івана, будинок 60;01982666
ВІННИЦЬКА; Тульчин;"КНП ""ТУЛЬЧИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ТУЛЬЧИНСЬКОЇ МІСЬКОЇ РАДИ"; МИКОЛИ ЛЕОНТОВИЧА, будинок 114;01982672
ВІННИЦЬКА; Тиврів;"КНП ""БАГАТОПРОФІЛЬНА ЛІКАРНЯ"" ТИВРІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Шевченка, будинок 2А;01982689
ВІННИЦЬКА; Хмільник;"Комунальне некомерційне підприємство ""Хмільницька центральна лікарня"" Хмільницької міської ради"; МОНАСТИРСЬКА, будинок 71;01982695
ВІННИЦЬКА; Чечельник;"КНП ""ЧЕЧЕЛЬНИЦЬКА  РАЙОННА ЛІКАРНЯ"" ЧЕЧЕЛЬНИЦЬКОЇ СЕЛИЩНОЇ РАДИ ГАЙСИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Антонішина, будинок 60;01982703
ВІННИЦЬКА; Ямпіль;"КНП ""ЯМПІЛЬСЬКА ТЕРИТОРІАЛЬНА ЛІКАРНЯ"" ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ";Пирогова, будинок 1;01982726
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ""";Київська, будинок 68;01982749
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""";Синьоводська, будинок 142;01982755
ВІННИЦЬКА; Вінниця;ВІННИЦЬКИЙ НАЦІОНАЛЬНИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ ІМ. М.І.ПИРОГОВА; ПИРОГОВА, будинок 56;02010669
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Пирогова, будинок 46;02011031
ВІННИЦЬКА; Вінниця, ;"КНП ""ВІННИЦЬКА ОБЛАСНА ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Хмельницьке шосе, будинок 108;03082760
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ТЕРАПІЇ ЗАЛЕЖНОСТЕЙ ""СОЦІОТЕРАПІЯ"" ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; ПИРОГОВА, будинок 109 В;05483931
ВІННИЦЬКА; Бохоники, ;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ФТИЗІОПУЛЬМОНОЛОГІЧНИЙ ЦЕНТР"" ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";КОМПЛЕКС БУДІВЕЛЬ І СПОРУД, будинок Б/Н;05484008
ВІННИЦЬКА; Вінниця, ;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1""";Хмельницьке шосе, будинок 96;05484126
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ШКІРНО-ВЕНЕРОЛОГІЧНИЙ ЦЕНТР ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Магістратська, будинок 21.;05484155
ВІННИЦЬКА; Вінниця;"КНП ""ПОДІЛЬСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ОНКОЛОГІЇ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; ХМЕЛЬНИЦЬКЕ ШОСЕ, будинок 84;05484161
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ЕНДОКРИНОЛОГІЧНИЙ ЦЕНТР ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Міклера Діонісія, будинок 34;05484178
ВІННИЦЬКА; Чернівці;"КНП ""ЧЕРНІВЕЦЬКА  РАЙОННА ЛІКАРНЯ   ЧЕРНІВЕЦЬКОЇ СЕЛИЩНОЇ РАДИ """;Вінницька, будинок 25 А;05484215
ВІННИЦЬКА; Оратів;"КНП ""ОРАТІВСЬКА  ЛІКАРНЯ ПЛАНОВОГО ЛІКУВАННЯ "" ОРАТІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 2;05484286
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №5 М. ВІННИЦІ""";Замостянська, будинок 49;05484362
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ МЕДИЧНИЙ ЦЕНТР РЕАБІЛІТАЦІЇ ДІТЕЙ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; НАГІРНА, будинок 17;05484557
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ""ЦЕНТР МАТЕРІ ТА ДИТИНИ""";Синьоводська, будинок 142;25500212
ВІННИЦЬКА; Вінниця,;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №3 М. ВІННИЦІ"""; Хмельницьке шосе, будинок 96;25502352
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4 М. ВІННИЦІ""";Замостянська, будинок 18;26244596
ВІННИЦЬКА; Березина;"КНП ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ ""КЛІНІЧНИЙ ЦЕНТР ІНФЕКЦІЙНИХ ХВОРОБ""";Каштанова, будинок 5;26285843
ВІННИЦЬКА; Вінниця;"ПРИВАТНЕ МЕДИЧНЕ ПІДПРИЄМСТВО""ЦЕНТР-В"""; ПИРОГОВА, будинок 3-А, квартира 1;31127658
ВІННИЦЬКА; Шаргород;"КНП ""ШАРГОРОДСЬКА МІСЬКА ЛІКАРНЯ"" ШАРГОРОДСЬКОЇ МІСЬКОЇ РАДИ ЖМЕРИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Чорновола В., будинок 9;33868196
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ДИТЯЧА ІНФЕКЦІЙНА ЛІКАРНЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; КИЇВСЬКА, будинок 68;34004453
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №1  М. ВІННИЦІ""";Зерова Миколи, будинок 13;35527334
ВІННИЦЬКА; Бар;"КНП ""БАРСЬКИЙ  МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" БАРСЬКОЇ МІСЬКОЇ РАДИ";Каштанова, будинок 34;35599262
ВІННИЦЬКА; Козятин(з);"КП ""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ";Винниченка, будинок 9;35814729
ВІННИЦЬКА; Самгородок;"КП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ САМГОРОДОЦЬКОЇ СІЛЬСЬКОЇ РАДИ""";Деснянська, будинок 2;35814781
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СКАН ЛАЙТ""";Пирогова, будинок 109;35904094
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АЛЬТАМЕДІКА ПЛЮС"""; МАРІЇ ЛИТВИНЕНКО-ВОЛЬГЕМУТ, будинок 40;36150660
ВІННИЦЬКА; Гайсин;"КНП ""ГАЙСИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ ГАЙСИНСЬКОЇ МІСЬКОЇ РАДИ"""; В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 1;36205651
ВІННИЦЬКА; Томашпіль;"КНП ""ТОМАШПІЛЬСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ""";Гаврилюка Ігоря, будинок 133;36331552
ВІННИЦЬКА; Вінниця;"КНП ""ТЕРИТОРІАЛЬНЕ МЕДИЧНЕ ОБ'ЄДНАННЯ ""ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР  ЕКСТРЕНОЇ МЕДИЧНОЇ ДОПОМОГИ ТА МЕДИЦИНИ КАТАСТРОФ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Пирогова, будинок 46-А;36364624
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОКСФОРД МЕДІКАЛ-ВІННИЦЯ""";Пирогова, будинок 34В;36604084
ВІННИЦЬКА; Бершадь;"КНП ""БЕРШАДСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""";Будкевича, будинок 2;36834023
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИЧНИЙ ЦЕНТР ХЕЛС КЛІНІК""";Стрілецька, будинок 1, приміщення 166;36886375
ВІННИЦЬКА; Тростянець;"КНП ""ТРОСТЯНЕЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ТРОСТЯНЕЦЬКОЇ СЕЛИЩНОЇ РАДИ";Богуна Івана, будинок 60;36892237
ВІННИЦЬКА; Хмільник;"КНП ""ХМІЛЬНИЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ХМІЛЬНИЦЬКОЇ МІСЬКОЇ РАДИ";Чорновола В'ячеслава, будинок 64;36905591
ВІННИЦЬКА; Муровані Курилівці;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ МУРОВАНОКУРИЛОВЕЦЬКОЇ СЕЛИЩНОЇ РАДИ МОГИЛІВ-ПОДІЛЬСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ""";Незалежності, будинок 87;37048032
ВІННИЦЬКА; Крижопіль;"КНП ""КРИЖОПІЛЬСЬКИЙ  МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""";Нечая Данила, будинок 6;37084458
ВІННИЦЬКА; Оратів;"КНП ""ОРАТІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ОРАТІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 2;37133248
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛІКУВАЛЬНО-ДІАГНОСТИЧНИЙ ЦЕНТР ""МЕДІЛЮКС"""; МАРІЇ ЛИТВИНЕНКО-ВОЛЬГЕМУТ, будинок 5;37159622
ВІННИЦЬКА; Погребище;"КП ""ПОГРЕБИЩЕНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПОГРЕБИЩЕНСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Тичини П., будинок 54;37179654
ВІННИЦЬКА; Чернівці;"КНП ""ЧЕРНІВЕЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО -САНІТАРНОЇ ДОПОМОГИ ЧЕРНІВЕЦЬКОЇ СЕЛИЩНОЇ РАДИ""";Вінницька, будинок 25 Б;37248104
ВІННИЦЬКА; Жмеринка;"КНП ""ЖМЕРИНСЬКИЙ МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ";Лук'яненка Левка, будинок 2;37261811
ВІННИЦЬКА; Тиврів;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ТИВРІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Шевченка, будинок 2 а;37294246
ВІННИЦЬКА; Гайсин;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ГАЙСИНСЬКОЇ МІСЬКОЇ РАДИ"""; В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 1;37294350
ВІННИЦЬКА; Липовець;"КНП ""ЛИПОВЕЦЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЛИПОВЕЦЬКОЇ МІСЬКОЇ РАДИ  ВІННИЦЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Пирогова, будинок 9;37336813
ВІННИЦЬКА; Теплик;"КНП ТЕПЛИЦЬКОЇ СЕЛИЩНОЇ РАДИ  ""ТЕПЛИЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ""";Незалежності, будинок 2;37337644
ВІННИЦЬКА; Шаргород;"КНП ""ШАРГОРОДСЬКИЙ  ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ШАРГОРОДСЬКОЇ МІСЬКОЇ РАДИ ЖМЕРИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Чорновола В., будинок 9 А;37337707
ВІННИЦЬКА; Піщанка;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ПІЩАНСЬКОЇ СЕЛИЩНОЇ РАДИ";Центральна, будинок 42;37357372
ВІННИЦЬКА; Літин;"Комунальне некомерційне підприємство ""Літинський центр первинної медико-санітарної допомоги"" Літинської селищної ради";Пирогова, будинок 17;37472460
ВІННИЦЬКА; Якушинці;"КНП ""ЯКУШИНЕЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЯКУШИНЕЦЬКОЇ СІЛЬСЬКОЇ РАДИ";Барвінкова, будинок 21А;37489689
ВІННИЦЬКА; Бершадь;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БЕРШАДСЬКА ЦЕНТРАЛЬНА АПТЕКА"""; 1 ТРАВНЯ, будинок 43;37513810
ВІННИЦЬКА; Вендичани;"КНП ""МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ВЕНДИЧАНСЬКОЇ СЕЛИЩНОЇ РАДИ МОГИЛІВ-ПОДІЛЬСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Патріотична, будинок 10;37580028
ВІННИЦЬКА; Ямпіль;"КП ""ЯМПІЛЬСЬКИЙ МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ";Сонячна, будинок 4;37636913
ВІННИЦЬКА; Чечельник;"КНП ""ЧЕЧЕЛЬНИЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЧЕЧЕЛЬНИЦЬКОЇ СЕЛИЩНОЇ РАДИ ГАЙСИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Антонішина, будинок 60;37647637
ВІННИЦЬКА; Вінниця(з),;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИЧНИЙ ЦЕНТР ""МОЄ ЗДОРОВ'Я"""; Хмельницьке шосе, будинок 92;37691162
ВІННИЦЬКА; Вінниця;"КП ""МІСЬКИЙ ЛІКУВАЛЬНО-ДІАГНОСТИЧНИЙ ЦЕНТР""";Київська, будинок 68;37898491
ВІННИЦЬКА; Могилів-Подільський;"КНП ""МОГИЛІВ-ПОДІЛЬСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" МОГИЛІВ-ПОДІЛЬСЬКОЇ МІСЬКОЇ РАДИ";Полтавська, будинок 89/2;38031318
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №2  М. ВІННИЦІ""";Магістратська, будинок 44;38055061
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИЧНИЙ ЦЕНТР ""САЛЮТЕМ""";Замостянська, будинок 13;38190087
ВІННИЦЬКА; Вінниця, ;"КНП ""ВІННИЦЬКИЙ РЕГІОНАЛЬНИЙ КЛІНІЧНИЙ ЛІКУВАЛЬНО-ДІАГНОСТИЧНИЙ ЦЕНТР СЕРЦЕВО-СУДИННОЇ ПАТОЛОГІЇ""";Хмельницьке шосе, будинок 98-Б;39183149
ВІННИЦЬКА; Жмеринка;"КНП ""ЖМЕРИНСЬКА ЛІКАРНЯ ВІДНОВНОГО ЛІКУВАННЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Лук'яненка Левка, будинок 2;39875078
ВІННИЦЬКА; Вінниця;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕХНОЛОГІЇ РЕСУРСИ ІНВЕСТИЦІЇ УКРАЇНИ""";Ващука Миколи, будинок 20Б, приміщення 53;40502175
ВІННИЦЬКА; Студена;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ СТУДЕНЯНСЬКОЇ СІЛЬСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""";Соборна, будинок 11 А;40620416
ВІННИЦЬКА; Іллінці;"КП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ІЛЛІНЕЦЬКОЇ МІСЬКОЇ РАДИ";Вільшанська, будинок 48;41007217
ВІННИЦЬКА; Калинівка;"КП ""КАЛИНІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ";Медична, будинок 6-Д;41021561
ВІННИЦЬКА; Чернятин;"КНП ""ЧЕРНЯТИНСЬКА ГОЛОВНА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ СІМЕЙНОЇ МЕДИЦИНИ"" СЕВЕРИНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ"; МИРУ, будинок 2-А;41164790
ВІННИЦЬКА; Дашів;"КНП ""ДАШІВСЬКА МІСЬКА ЛІКАРНЯ"" ДАШІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 2;41253686
ВІННИЦЬКА; Немирів;"КП ""НЕМИРІВСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НЕМИРІВСЬКОЇ МІСЬКОЇ РАДИ";Євдокименко, будинок 22;41345263
ВІННИЦЬКА; Томашпіль;"КНП""ТОМАШПІЛЬСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ""ТОМАШПІЛЬСЬКОЇ СЕЛИЩНОЇ РАДИ";Гаврилюка Ігоря, будинок 135;41454112
ВІННИЦЬКА; Джулинка;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ ДЖУЛИНСЬКОЇ СІЛЬСЬКОЇ РАДИ """;Центральна, будинок 118 Б;41579448
ВІННИЦЬКА; Війтівці;"КНП ""ВІЙТІВЕЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ВІЙТІВЕЦЬКОЇ СІЛЬСЬКОЇ РАДИ"; ЖДАНОВА, будинок 43;41604458
ВІННИЦЬКА; Вапнярка;"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДРИЄМСТВО ""ВАПНЯРСЬКИЙ МЕДИЧНИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ВАПНЯРСЬКОЇ СЕЛИЩНОЇ РАДИ";Незалежності, будинок 196;41635879
ВІННИЦЬКА; Ладижин;"КП ""ЛАДИЖИНСЬКА МІСЬКА ЛІКАРНЯ"" ЛАДИЖИНСЬКОЇ МІСЬКОЇ РАДИ ГАЙСИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Ентузіастів, будинок 24;41758238
ВІННИЦЬКА; Ладижин;"КП ""Ладижинський міський центр первинної медико-санітарної допомоги"" Ладижинської міської ради Гайсинського району Вінницької області";Ентузіастів, будинок 24;41758264
ВІННИЦЬКА; Козятин(пн);"КП ""КОЗЯТИНСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ"""; НЕЗАЛЕЖНОСТІ, будинок 75;41783594
ВІННИЦЬКА; Дашів;"КП ""ДАШІВСЬКА АМБУЛАТОРІЯ ЗАГАЛЬНОЇ ПРАКТИКИ - СІМЕЙНОЇ МЕДИЦИНИ"" ДАШІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 2;41830570
ВІННИЦЬКА; Гнівань;"КНП ""ГНІВАНСЬКА МІСЬКА ЛІКАРНЯ""";Ковач Марії, будинок 1;41877446
ВІННИЦЬКА; Гнівань;"КНП ""ГНІВАНСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ГНІВАНСЬКОЇ МІСЬКОЇ РАДИ";Соборна, будинок 89;41877472
ВІННИЦЬКА; Шпиків;"КНП ""ШПИКІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ШПИКІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Незалежності, будинок 139;42177140
